Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
Albany,1.00,34.00,40.10,24.80,55.50,0.45,7.20,19.80,0.36,15.40,20.40,0.76,12.60,16.90,11.10,21.70,32.80,12.50,5.70,2.80,72.10,3.00,0.56,0.51,156.60,34.90,69.70,52.10,50.40,16.40,8.40,7.50,1.30,49.90,107.70,103.20,4.50,2277.70,66.70,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,3.00,0.00,1.50,1.00,0.40,0.28,19.00,15.00,0.56,2012.00,America East Conference,-0.24
Binghamton,9.00,31.00,40.20,20.20,50.90,0.40,4.30,14.10,0.30,12.10,17.40,0.70,14.90,17.90,8.20,20.20,28.40,11.20,6.00,2.20,56.80,9.00,0.49,0.44,139.80,26.30,69.90,47.30,55.20,20.30,9.10,6.20,1.10,30.90,85.80,106.80,-21.00,2053.00,66.00,9.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,74.00,-13.90,3.00,1.55,0.70,0.40,0.24,2.00,29.00,0.07,2012.00,America East Conference,2.65
Boston University,5.00,32.00,40.20,22.70,53.70,0.42,6.30,19.80,0.32,12.20,18.20,0.67,13.60,16.80,9.90,22.70,32.60,11.60,5.80,3.00,63.90,4.00,0.52,0.48,141.30,31.40,69.50,50.80,51.20,18.00,8.90,8.60,1.20,42.10,97.20,96.60,0.50,2104.60,65.50,6.00,5.00,0.00,0.00,0.00,0.00,0.00,2.00,83.00,0.30,5.00,1.51,0.90,0.40,0.23,16.00,16.00,0.50,2012.00,America East Conference,0.00
Hartford,8.00,31.00,40.60,21.10,51.00,0.41,7.40,23.70,0.31,10.50,15.70,0.67,15.50,19.70,6.60,20.40,27.10,13.10,6.60,2.10,60.00,7.00,0.52,0.49,139.00,21.10,68.40,44.20,62.10,21.20,9.80,6.10,1.20,33.70,89.20,99.90,-10.70,2085.90,66.20,7.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,86.00,-7.20,8.00,1.62,0.80,0.40,0.21,9.00,22.00,0.29,2012.00,America East Conference,0.89
Maine,2.00,29.00,40.50,25.90,58.50,0.44,5.80,17.90,0.33,11.00,15.00,0.73,13.10,18.60,10.30,22.60,32.80,14.10,6.10,4.20,68.60,5.00,0.53,0.49,150.20,30.70,66.60,48.80,54.40,16.80,8.80,10.40,1.20,47.70,99.70,99.30,0.40,1995.60,67.90,1.00,18.00,0.00,0.00,0.00,0.00,3.00,3.00,113.00,0.20,0.00,1.54,1.10,0.50,0.19,12.00,17.00,0.41,2012.00,America East Conference,0.34
New Hampshire,7.00,29.00,40.00,21.30,53.30,0.40,7.30,21.30,0.34,11.10,18.20,0.61,13.10,18.10,8.90,22.20,31.10,9.80,5.30,2.40,61.20,6.00,0.50,0.47,135.20,26.70,70.70,48.10,46.00,17.60,8.00,6.20,1.10,35.20,92.50,95.00,-2.50,1918.00,66.10,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,-1.70,2.00,1.46,0.80,0.40,0.21,13.00,16.00,0.45,2012.00,America East Conference,0.21
Stony Brook,4.00,32.00,40.20,24.00,56.20,0.43,6.20,18.80,0.33,12.20,17.60,0.69,12.30,15.10,13.10,21.80,34.90,11.10,5.50,1.70,66.40,1.00,0.52,0.48,145.20,40.10,75.00,56.60,46.20,16.20,8.70,5.40,1.20,45.30,104.40,92.90,11.50,2036.10,63.40,3.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,93.00,7.30,4.00,1.46,0.90,0.40,0.22,22.00,10.00,0.69,2012.00,America East Conference,-0.79
UMBC,6.00,30.00,40.50,22.90,58.30,0.39,5.10,17.10,0.30,12.40,18.80,0.66,14.60,20.90,10.70,21.30,32.00,10.30,5.80,1.80,63.20,8.00,0.48,0.44,135.00,30.20,66.50,47.40,44.90,18.00,8.30,4.90,1.10,31.50,89.40,109.00,-19.60,2121.80,69.90,2.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,82.00,-13.80,2.00,1.45,0.70,0.40,0.21,4.00,26.00,0.13,2012.00,America East Conference,1.87
Vermont,3.00,36.00,40.40,23.60,53.10,0.44,5.30,15.60,0.34,14.70,19.90,0.74,12.40,17.40,10.00,23.30,33.40,13.20,6.10,2.40,67.10,2.00,0.54,0.49,152.40,33.30,70.60,52.80,55.90,16.70,9.40,6.60,1.30,47.40,103.30,93.70,9.50,2339.30,64.30,8.00,5.00,0.00,0.00,0.00,0.00,3.00,0.00,92.00,6.20,0.00,1.56,1.10,0.50,0.28,24.00,12.00,0.67,2012.00,America East Conference,-0.70
Albany,4.00,35.00,40.10,21.70,50.00,0.44,6.10,16.40,0.37,14.70,20.00,0.74,13.40,16.10,9.00,22.60,31.60,11.30,5.50,2.00,64.30,3.00,0.55,0.50,154.30,30.70,72.10,52.10,51.80,18.50,8.60,5.90,1.30,42.50,100.90,95.20,5.70,2229.80,63.50,8.00,5.00,1.00,0.00,0.00,0.00,2.00,0.00,83.00,3.70,0.00,1.52,0.80,0.40,0.30,24.00,11.00,0.69,2013.00,America East Conference,-0.78
